reason,customer_npi,customer_id,clinic_id,vendor,integration_type,result_enabled,msh06_receiving_facility,clinic_name,updated_at,id,collision_key,rows_in_key,distinct_customers,distinct_vendors
same_customer_duplicate_rows,1669515649,9881,80455,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-05-14 21:40:37,cmj98pa5x00050xt5vuwzy6g4,1669515649|80455,2,1,1
same_customer_duplicate_rows,1669515649,9881,80455,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health LA,2026-05-14 21:40:37,cmjxapzcm00a50xfqajr5imv1,1669515649|80455,2,1,1
same_customer_duplicate_rows,1669592630,5139,5819,MDHQ(Cerbo),FULL_INTEGRATION,1,5139,Natural Health & Healing,2026-05-14 21:40:37,cmjxaozul000x0xfq0eufzlrn,1669592630|5819,2,1,1
same_customer_duplicate_rows,1669592630,5139,5819,MDHQ(Cerbo),FULL_INTEGRATION,1,5139,Natural Health & Healing,2026-05-14 21:40:37,cmj99iiyz00010xf1nqgemzm7,1669592630|5819,2,1,1
same_customer_duplicate_rows,1679793376,2431,76837,Practice Fusion,FULL_INTEGRATION,1,2431,Los Alamitos Holistic Medical Center,2026-05-14 21:40:37,cmj98e8ay001t0xmux85cf92d,1679793376|76837,2,1,1
same_customer_duplicate_rows,1679793376,2431,76837,Practice Fusion,FULL_INTEGRATION,1,2431,Los Alamitos Holistic Medical Center,2026-05-14 21:40:37,cmjxapvid00950xfq33fqjspd,1679793376|76837,2,1,1
same_customer_duplicate_rows,1689704074,45416,149050,OptiMantra,FULL_INTEGRATION,1,45416,We The People Health & Wellness Center,2026-05-14 21:40:37,cmkzxxmsx95f4a2a5edd57a9c,1689704074|149050,2,1,1
same_customer_duplicate_rows,1689704074,45416,149050,OptiMantra,FULL_INTEGRATION,1,45416,We The People Health & Wellness Center,2026-03-19 10:41:01,cmkzxxmsxe3aa6fc0b1183c2c,1689704074|149050,2,1,1
same_customer_duplicate_rows,1689833568,9282,125235,Practice Fusion,FULL_INTEGRATION,1,9282,Greenhouse Natural Medicine,2026-05-14 21:40:37,cmj98e7di00190xmuqa9wq3kb,1689833568|125235,2,1,1
same_customer_duplicate_rows,1689833568,9282,125235,Practice Fusion,FULL_INTEGRATION,1,9282,Greenhouse Natural Medicine,2026-05-14 21:40:37,cmjxaptco008l0xfq69k3tc9l,1689833568|125235,2,1,1
multi_customer,1699300087,31882,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-05-14 21:40:37,cmjxaoxxq000f0xfqxre49h35,1699300087|132145,2,2,1
multi_customer,1699300087,35707,132145,MDHQ(Cerbo),FULL_INTEGRATION,1,30111,Vitalis-Health,2026-01-02 19:56:59,cmjxaoysu000n0xfqnewsu27q,1699300087|132145,2,2,1
same_customer_duplicate_rows,1710973896,14350,103021,Practice Fusion,FULL_INTEGRATION,1,14350,ReNUMD,2026-05-14 21:40:37,cmj98e7xy001l0xmugbubqs4m,1710973896|103021,2,1,1
same_customer_duplicate_rows,1710973896,14350,103021,Practice Fusion,FULL_INTEGRATION,1,14350,ReNUMD,2026-05-14 21:40:37,cmjxapuo7008x0xfqf15ypccn,1710973896|103021,2,1,1
multi_vendor,1710993514,10344,136694,OptiMantra,FULL_INTEGRATION,1,10344,Koniver Wellness,2026-05-14 21:40:37,cmjklwlhk00070xfeux19srtf,1710993514|136694,2,1,2
multi_vendor,1710993514,10344,136694,MDHQ(Cerbo),FULL_INTEGRATION,1,10344,Koniver Wellness,2026-05-14 21:40:37,cmjklwlkp00090xfei36cuyf8,1710993514|136694,2,1,2
multi_customer+multi_vendor,1720030083,5640,72403,Practice Fusion,FULL_INTEGRATION,1,1124236245,Natural Medicine of Stillwater,2026-05-14 21:40:37,cmjxapgkh00590xfq5fmwpkgs,1720030083|72403,2,2,2
multi_customer+multi_vendor,1720030083,6325,72403,OptimalDX,FULL_INTEGRATION,1,6325,Teresa Pena,2025-12-25 00:02:54,cmjklx47z00c90xfeom9g9be0,1720030083|72403,2,2,2
same_customer_duplicate_rows,1720551427,9086,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmjxaq6m800bz0xfqq5db0z0l,1720551427|13505,2,1,1
same_customer_duplicate_rows,1720551427,9086,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmj99ovys000h0xj14lcxwgw4,1720551427|13505,2,1,1
same_customer_duplicate_rows,1740308527,11365,128490,Practice Fusion,FULL_INTEGRATION,1,11365,"Mankato Integrative Medicine, LLC",2026-05-14 21:40:37,cmjxaptzg008r0xfq3i8nx7q8,1740308527|128490,2,1,1
same_customer_duplicate_rows,1740308527,11365,128490,Practice Fusion,FULL_INTEGRATION,1,11365,"Mankato Integrative Medicine, LLC",2026-05-14 21:40:37,cmj98e7nu001f0xmu0obfwtrp,1740308527|128490,2,1,1
same_customer_duplicate_rows,1750360418,9082,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmjxaq5xy00bt0xfq549a30hv,1750360418|13505,2,1,1
same_customer_duplicate_rows,1750360418,9082,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmj99ovos000b0xj1snzf2i6n,1750360418|13505,2,1,1
same_customer_duplicate_rows,1770135147,9085,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmjxaq6eq00bx0xfq2vr7glxf,1770135147|13505,2,1,1
same_customer_duplicate_rows,1770135147,9085,13505,MDHQ(Cerbo),FULL_INTEGRATION,1,9075,Turnpaugh Health and Wellness Center,2026-05-14 21:40:37,cmj99ovvj000f0xj1zofxtt32,1770135147|13505,2,1,1
same_customer_duplicate_rows,1770568131,4401,4499,MDHQ(Cerbo),FULL_INTEGRATION,1,4401,Atlanta Integrative and Internal Medicine,2026-05-14 21:40:37,cmjxap9yl003j0xfq48gko81j,1770568131|4499,2,1,1
same_customer_duplicate_rows,1770568131,4401,4499,MDHQ(Cerbo),FULL_INTEGRATION,1,4401,Atlanta Integrative and Internal Medicine,2026-05-14 21:40:37,cmj99iktl00110xf1bkghwa1j,1770568131|4499,2,1,1
same_customer_duplicate_rows,1780146779,12625,83485,Practice Fusion,FULL_INTEGRATION,1,12625,BluVida,2026-05-14 21:40:37,cmj98e7r5001h0xmutgmle7q3,1780146779|83485,2,1,1
same_customer_duplicate_rows,1780146779,12625,83485,Practice Fusion,FULL_INTEGRATION,1,12625,BluVida,2026-05-14 21:40:37,cmjxapu7a008t0xfqa057twt8,1780146779|83485,2,1,1
same_customer_duplicate_rows,1780713347,4724,5129,Practice Fusion,FULL_INTEGRATION,1,4724,Sacred Heart Center,2026-05-14 21:40:37,cmjxaptrt008p0xfqko8igxyl,1780713347|5129,2,1,1
same_customer_duplicate_rows,1780713347,4724,5129,Practice Fusion,FULL_INTEGRATION,1,4724,Sacred Heart Center,2026-05-14 21:40:37,cmj98e7ki001d0xmugbnww8up,1780713347|5129,2,1,1
same_customer_duplicate_rows,1780913442,10834,80458,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health SF,2026-05-14 21:40:37,cmj98paqj000h0xt5b6usjc4m,1780913442|80458,2,1,1
same_customer_duplicate_rows,1780913442,10834,80458,MDHQ(Cerbo),FULL_INTEGRATION,1,4630,Parsley Health SF,2026-05-14 21:40:37,cmjxaq0mt00ah0xfq8evdaznb,1780913442|80458,2,1,1
