action,key,npi,id,customer_id,clinic_id,integration_type,vendor,result_enabled,sftp_result_path,own_rtr,own_rtr_last,cust_rtr,keep_id,keep_customer_id,clinic_name,created_at,updated_at
DELETE,1427076488|NULL,1427076488,cmj99oxdz00190xj14rd3b5o7,1969,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqa3h00cv0xfqvxun0vvw,1969,FEM Centre (Fort Worth),2025-12-17 00:22:30,2025-12-17 00:22:30
DELETE,1700105301|NULL,1700105301,cmj99oxhg001b0xj1hutfm3iz,1970,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqab700cx0xfq201spyy2,1970,FEM Centre (Fort Worth),2025-12-17 00:22:30,2025-12-17 00:22:30
DELETE,1891958708|NULL,1891958708,cmj99oxkv001d0xj1qtolbpg3,1971,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,3,cmjxaqair00cz0xfqe141drep,1971,FEM Centre (Fort Worth),2025-12-17 00:22:30,2025-12-17 00:22:30
DELETE,1891958708|NULL,1891958708,cmqa5kvkm000e0x963ohqh2tv,1977,,ORDER_ONLY,,0,,0,,0,cmjxaqair00cz0xfqe141drep,1971,FEM Centre (Colleyville),2026-06-11 23:53:05,2026-06-11 23:53:05
DELETE,1700032026|NULL,1700032026,cmj99oxon001f0xj13qn7tc2i,1972,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqaq800d10xfqej7ihazu,1972,FEM Centre (Fort Worth),2025-12-17 00:22:30,2025-12-17 00:22:30
DELETE,1700032026|NULL,1700032026,cmqa5kvkm000f0x96y5c0u6to,1978,,ORDER_ONLY,,0,,0,,0,cmjxaqaq800d10xfqej7ihazu,1972,FEM Centre (Colleyville),2026-06-11 23:53:05,2026-06-11 23:53:05
DELETE,1023345436|NULL,1023345436,cmj99oxsk001h0xj1ctv95o0q,1973,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqaxt00d30xfqtzw00gsf,1973,FEM Centre (Fort Worth),2025-12-17 00:22:30,2025-12-17 00:22:30
DELETE,1023345436|NULL,1023345436,cmqa5kvkm000g0x96qx39ulwi,1979,,ORDER_ONLY,,0,,0,,0,cmjxaqaxt00d30xfqtzw00gsf,1973,FEM Centre (Colleyville),2026-06-11 23:53:05,2026-06-11 23:53:05
DELETE,1366543621|NULL,1366543621,cmj99oxz7001l0xj1pa6sbpkw,1975,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqbcz00d70xfqfxlj3eso,1975,FEM Centre (Colleyville),2025-12-17 00:22:30,2025-12-17 00:22:30
DELETE,1073868139|683,1073868139,cmj99oy2m001n0xj1pprz9fl0,1490,683,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqbkp00d90xfqzf1y2n7b,1490,"Bradley Axline, MD",2025-12-17 00:22:31,2026-05-14 21:40:37
DELETE,1093706293|44210,1093706293,cmj99oy62001p0xj1w1r0jtj7,2480,44210,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqbs900db0xfqlj228wns,2480,Castle Hills Family Medicine INT5,2025-12-17 00:22:31,2026-05-14 21:40:37
DELETE,1396742128|44210,1396742128,cmj99oy9s001r0xj1o684ykan,2481,44210,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqbzr00dd0xfqiot8v0rk,2481,Castle Hills Family Medicine INT5,2025-12-17 00:22:31,2026-05-14 21:40:37
DELETE,1568669430|NULL,1568669430,cmj99oycz001t0xj16q049hr2,2868,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqc7800df0xfqmk91iulh,2868,Stetson Hills Family Medicine INT5,2025-12-17 00:22:31,2025-12-17 00:22:31
DELETE,1891088563|NULL,1891088563,cmj99oygc001v0xj1biorn232,2869,,FULL_INTEGRATION,ATHENA,1,/inboundintoathena/,0,,0,cmjxaqceq00dh0xfqvtnkv6bf,2869,Stetson Hills Family Medicine INT5,2025-12-17 00:22:31,2025-12-17 00:22:31
